text,start,end,CUI,term,similarity
"colonic",998,1005,C0009368,"colonic",1.00
"patient",1270,1277,C0030705,"patient",1.00
"patient",1270,1277,C0021562,"inpatient",0.71
"tablets",1450,1457,C0039225,"tablets",1.00
"tablets",1450,1457,C0039225,"tablet",0.80
"tablets",1450,1457,C1705223,"tablet",0.80
"tablets",1450,1457,C4319774,"tablet",0.80
"tablets",1490,1497,C0039225,"tablets",1.00
"tablets",1490,1497,C0039225,"tablet",0.80
"tablets",1490,1497,C1705223,"tablet",0.80
"tablets",1490,1497,C4319774,"tablet",0.80
"entire",350,356,C0439751,"entire",1.00
"rectal",376,382,C0205052,"rectal",1.00
"rectal",376,382,C1527425,"rectal",1.00
"rectal",376,382,C4521903,"rectal",1.00
"normal",412,418,C0205307,"normal",1.00
"rectum",510,516,C0034896,"rectum",1.00
"rectum",510,516,C1278926,"rectum",1.00
"direct",536,542,C0439851,"direct",1.00
"mucosa",984,990,C0026724,"mucosa",1.00
"mucosa",1006,1012,C0026724,"mucosa",1.00
"normal",1022,1028,C0205307,"normal",1.00
"normal",1034,1040,C0205307,"normal",1.00
"rectum",1160,1166,C0034896,"rectum",1.00
"rectum",1160,1166,C1278926,"rectum",1.00
"normal",1390,1396,C0205307,"normal",1.00
"office",1534,1540,C0442603,"office",1.00
"nurse",129,134,C0028661,"nurse",1.00
"video",474,479,C0042655,"video",1.00
"cecum",585,590,C0007531,"cecum",1.00
"cecum",585,590,C1278925,"cecum",1.00
"strap",608,613,C0183631,"strap",1.00
"polyp",743,748,C0032584,"polyp",1.00
"polyp",794,799,C0032584,"polyp",1.00
"small",1178,1183,C0700321,"small",1.00
"Small",1349,1354,C0700321,"small",1.00
"fiber",1427,1432,C0225326,"fiber",1.00
"fiber",1427,1432,C1260603,"fiber",1.00
"twice",1458,1463,C1720725,"twice",1.00
"total",1476,1481,C0439810,"total",1.00
"NuLev",1508,1513,C0939414,"nulev",1.00
"weeks",1563,1568,C0439230,"weeks",1.00
"form",139,143,C0348078,"form",1.00
"good",712,716,C0205170,"good",1.00
"flat",738,742,C0205324,"flat",1.00
"flat",738,742,C0457933,"flat",1.00
"cold",749,753,C0009264,"cold",1.00
"cold",749,753,C0009443,"cold",1.00
"cold",749,753,C0024117,"cold",1.00
"cold",749,753,C0234192,"cold",1.00
"flat",789,793,C0205324,"flat",1.00
"flat",789,793,C0457933,"flat",1.00
"cold",830,834,C0009264,"cold",1.00
"cold",830,834,C0009443,"cold",1.00
"cold",830,834,C0024117,"cold",1.00
"cold",830,834,C0234192,"cold",1.00
"flat",860,864,C0205324,"flat",1.00
"flat",860,864,C0457933,"flat",1.00
"seen",1127,1131,C0205397,"seen",1.00
"view",1148,1152,C0449911,"view",1.00
"well",1302,1306,C0205170,"well",1.00
"day",1466,1469,C0439228,"day",1.00
"complications",1315,1328,C0009566,"complication",0.91
"complications",1315,1328,C2362589,"complication",0.91
"medications",261,272,C0013227,"medication",0.89
"provided",326,334,C0359589,"provide",0.83
"haustral",1057,1065,C0458948,"haustra",0.83
"symptoms",1576,1584,C1457887,"symptom",0.83
"resolve",1592,1599,C3714811,"resolved",0.83
"preparation",696,707,C0071888,"preparation h",0.82
"preparation",696,707,C0018062,"cg preparation",0.75
"preparation",696,707,C0040165,"t4 preparation",0.75
"preparation",696,707,C0041014,"t3 preparation",0.75
"preparation",696,707,C0036679,"separation",0.70
"preparation",696,707,C0237868,"separation",0.70
"vascularity",1041,1052,C0027686,"neovascularity",0.75
"informed",164,172,C0562357,"uninformed",0.75
"placed",211,217,C0442504,"place",0.75
"placed",211,217,C1704765,"place",0.75
"polyps",1093,1099,C0032584,"polyp",0.75
"PREMEDICATION",100,113,C0013227,"medication",0.73
"INDICATION",0,10,C0392360,"indication of",0.73
"appeared",1013,1021,C1948490,"appearex",0.71
"consent",173,180,C2711213,"consented",0.71
"sphincter tone",419,433,C0426763,"anal sphincter tone",0.71
"terminated",1252,1262,C0205259,"determinate",0.70
"IMPRESSION",1334,1344,C0332459,"compression",0.70
"IMPRESSION",1334,1344,C4551657,"compression",0.70
